line_id,text,score,detector_text,detector_score,crop_source,crop_h,crop_w,line_height_px,detector_box
1,Invoice358559,0.9845761656761169,Invoice #358559,0.9528757254282634,rapidocr_box,58,484,58,"[[995.17, 136.07], [1479.55, 132.54], [1479.55, 190.85], [995.17, 194.39]]"
2,Emaill:tbrianbrianbossierdesign.com,0.9798116683959961,Email:brian@brianbossierdesign.com,0.9982183610691744,rapidocr_box,51,752,51,"[[1590.51, 291.58], [2342.61, 295.11], [2342.61, 346.36], [1590.51, 342.82]]"
3,Call[--623-777-9044,0.9246026277542114,Call:+1-623-777-9044,0.9975060403347016,rapidocr_box,45,445,45,"[[1893.47, 362.26], [2339.09, 362.26], [2339.09, 408.21], [1893.47, 408.21]]"
4,Fax402340-908-890,0.9515035152435303,Fax:+012340-908-890,0.9978892395370885,rapidocr_box,45,452,45,"[[1886.42, 427.65], [2339.09, 427.65], [2339.09, 473.59], [1886.42, 473.59]]"
5,ClientInformation,0.9589260220527649,Client Information,0.9815226660834419,rapidocr_box,53,461,53,"[[140.91, 599.06], [602.39, 599.06], [602.39, 652.07], [140.91, 652.07]]"
6,PoLLoMOHINE8WVELDING,0.9062983393669128,APOLLOMACHINE&WELDING,0.9891056560334706,rapidocr_box,45,662,45,"[[140.91, 749.27], [803.18, 749.27], [803.18, 795.21], [140.91, 795.21]]"
7,"Address44-93Street,Edmonton,T6E5Y3",0.9730046391487122,"Address:4141-93Street,Edmonton,T6E5Y3",0.9753622074384947,rapidocr_box,47,891,47,"[[137.39, 842.92], [1028.64, 844.69], [1028.64, 892.4], [137.39, 890.64]]"
8,Call:--908-567-0987,0.9178098440170288,Call:+1-908-567-0987,0.9960438787937165,rapidocr_box,45,447,45,"[[140.91, 940.12], [588.3, 940.12], [588.3, 986.06], [140.91, 986.06]]"
9,Emaill.infoclientdomain.com,0.9673635959625244,Email:info@clientdomain.com,0.9968933551399796,rapidocr_box,51,602,51,"[[139.15, 1035.54], [741.53, 1035.54], [741.53, 1086.79], [139.15, 1086.79]]"
10,Paymentetails,0.9894640445709229,Payment Details,0.987451680501302,rapidocr_box,58,420,58,"[[139.15, 1176.91], [560.11, 1176.91], [560.11, 1235.23], [139.15, 1235.23]]"
11,Billmount:87965,0.9643000364303589,BillAmount:$7965,0.9956679306924343,rapidocr_box,47,394,47,"[[142.67, 1325.35], [537.22, 1325.35], [537.22, 1373.07], [142.67, 1373.07]]"
12,"Bill Date:Aug.23,2023",0.9382033348083496,"Bill Date: Aug. 23, 2023",0.9613237604498863,rapidocr_box,58,472,58,"[[133.86, 1415.48], [605.91, 1419.01], [605.91, 1477.33], [133.86, 1473.79]]"
13,PaymentStatus:Paid,0.9712438583374023,Payment Status: Paid,0.9819991797208786,rapidocr_box,53,449,53,"[[137.39, 1516.2], [586.53, 1512.67], [586.53, 1565.68], [137.39, 1569.22]]"
14,"DeliveryDate:Aug-23,2023",0.9700522422790527,"Delivery Date: Aug. 23, 2023",0.9868408122232982,rapidocr_box,58,567,58,"[[137.39, 1606.33], [704.55, 1609.86], [704.55, 1668.18], [137.39, 1664.64]]"
15,"PurchaseDate:Sept.9,2023",0.9687147736549377,"Purchase Date: Sept. 9, 2023",0.9570912442037037,rapidocr_box,53,581,53,"[[135.62, 1705.29], [716.88, 1708.82], [716.88, 1761.84], [135.62, 1758.3]]"
16,ITEM,0.8909420371055603,ITEM,0.9830086976289749,rapidocr_box,49,118,49,"[[162.05, 1882.0], [280.06, 1882.0], [280.06, 1931.48], [162.05, 1931.48]]"
17,Gluantity,0.9575255513191223,Quantity,0.996452271938324,rapidocr_box,56,183,56,"[[725.68, 1880.23], [908.86, 1883.77], [907.1, 1940.32], [723.92, 1936.78]]"
18,UnitPrice,0.9996030330657959,Unit Price,0.9704278647899628,rapidocr_box,47,213,47,"[[1285.8, 1882.0], [1498.92, 1885.54], [1498.92, 1933.25], [1285.8, 1929.71]]"
